Program,Major,Title,Year,Abstract Keywords,Adviser
BSIT,N/A,BACK TO BEGINNING (3D ANIMATION),2013,"The project is mainly concerned with the development of Back to Beginning (3D Animation). The primary objective of the developers is to develop a 3D Animation for Grade I and Grade Il students of SIAES wherein the students will entertain while watching the animation as well as learning through the animation. The animation has seven scenes and compressed in a DVD. This DVD has a menu that the user or the students can select scenes they want to watch. The research had the following functions; to design the first book and first chapter of the bible namely Genesis: the creation to SIAES, To develop a 3D Animation of the creation as learning tool while listening, watching, reading, learning as well as giving a lesson way to the student ages 6-8 years old in Sta. Isabel Adventist Elementary School; to develop an additional aid for teaching the creation lessons in Sta. Isabel Adventist Elementary School by means of 3D animation; Back to Beginning was tested by conducting an evaluation to different users: seventeen (17) Grade I and Il pupils, eighteen (18) Non-IT and five (5) IT Experts. The researchers assured that the system would be significant and of great help to the Grade | & Il Students of Sta. Isabel Adventist Elementary School in enhancing their mind ability within the subject area. Also, the students will be more fascinated in learning 3D animation in an exciting format.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,"THE DEVELOPMENT OF A SIDE SCROLLING GAME: ""CHIBITOPIA: CHALICE OF CHASTITY",2013,"The research is concerned with the development of a side scrolling game entitled Chibitopia: Chalice of Chastity. Its main objective is to develop an adventure game using a computer. The game is a 2D adventure game. The capabilities of the game are (1) The game has 17 different stages. (2) The game consists of 3 characters which can be played through the whole game. (3) The game can be saved. (4) The game can be loaded. (5) The game can show the top 10 players. The software used to create the system was Game Maker Pro 8, Adobe Photoshop CS5, Sony Sound Forge and Paint tool SAl. The evaluators are divided into two, the IT expert composed of five (5) IT professionals and Non IT composed of twenty (20) High school students and ten (15) selected gamers in San Pablo City. The two groups use different evaluation instrument. The numerical interpretation has a five point scale starting from the lowest range which is 1.00-1.50 and the interpretation is not accepted, 1.51-2.50 which is fairly acceptable, 2.51-3.50 which is acceptable, 3.51-4.50 which is very acceptable and lastly 4.51-5.00 which is highly acceptable. The overall interpretation of IT expert for the game is very acceptable with the mean of 3.91. The interpretation of non IT (High School) is highly acceptable with the mean of 4.46 and the (gamers) interpreted very acceptable with the mean of 4.34. The interpretation of the system the Chibitopia: Chalice of Chastity is very acceptable with the overall mean of 4.23.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,"THE DEVELOPMENT OF ""ANTS REVOLUTION: A REAL TIME STRATEGY GAME""",2013,"A video game is an electronic game that involves human interaction with a user interface to generate visual feedback on a video device. The electronic systems used to play video games are known as platforms; examples of these are personal computers and video game consoles. These platforms range from large mainframe computers to small handheld devices. Specialized video games such as arcade games, while previously common, have gradually declined in use. Video games have gone on to become an art form and industry. The developers decided to create a study which is called Ants Revolution, a computer game developed as Real-time strategy game. This is a single player where the player would control an ant colony to accomplish different tasks. The game developed is based on daily activities of ants. There are five ant species in the game which are the fire ants, leafcutter ants, army ants, wood ants and black garden ants. This game is multi-tasking. Players can do different things simultaneously. In this study, the developer used softwäre such as Gamemaker8used to design the whole interface of ant colony, Autodesk Maya used in 3D editing application, it is used to create the models of the Ants and renders it to Sprite Images used in Ants Revolution Game and Sony Vegas Video editing software that was used in making the introduction video of the Ants Revolution Game. It is ready to execute a program. The developers can play it. Based on the conducted tests and evaluations of the respondents, they gave their acceptance and shown great satisfactions to the developed system Ants Revolution Game: A Real Time Strategy Game. The developers summarized the following findings: Every project begins with the gathering data. This phase describes how these requirements will accomplish and defines the problem that the developers trying to solve. Planning the project is the first step in system development. The developers will gather information about the main character in this study which is the ants. They will determine what behavior ants have, what are the enemies they are facing and other important information about them. After gathering information, the developers will be planning about the game play and the flow of the game. They will form objectives that they must achieve. Before starting the coding, the concept of the game must be already clear and complete. Therefore, developers designed a user-friendly game that will help players gain information about ants by creating simple platform and develop a Real Time Strategy game for computers that will help players identify different species of ants through its appearances where a player will enjoy and learn from the game.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,THE DEVELOPMENT OF E-LEARNING FOR PC ASSEMBLY AND BASIC COMPUTER HARDWARE TROUBLESHOOTING,2013,"The capstone project focuses on the development of E-Learning for PC Assembly and Basic Computer Hardware Troubleshooting which served as a supplement in teaching the subject, PC Troubleshooting and Maintenance. The system is developed for the second year IT students of Laguna State Polytechnic University San Pablo City Campus (LSPU- SPCC) under College of Computer Studies (CCS) who are taking up PC Troubleshooting and Maintenance. Its main objective is to provide the CCS (College of Computer Studies) students of LSPU-SPCC (Laguna State Polytechnic University- San Pablo City Campus) an E-learning software application for PC Assembly and Troubleshooting and help them have a deeper understanding about the different computer hardware. The developers used modified waterfall model for the development of the system. The system has the following functions: (1) Learn button which gives the user an overview about the different computer hardware; (2) Different computer hardware together with the basic problems encountered had a simple animation on how to troubleshoot the problem is the function of Troubleshoot button; (3) PC Assembly button had the Lesson button that guides the user by giving instructions in assembling the system unit while in Test button the system did not provide procedures. The user was the one who would identify where is the proper place to put the component; (4) Quiz that can be used as student's evaluation about the lesson; (5) Glossary provides the definition of technical terms found in the system; (6) Help button that guides the user in using the system; (7) Safety Guidelines gives safety precautions before assembling and troubleshooting their computer; (😎 Print allows the user to print and save the lectures in Learn button in a portable document file (PDF) format; (9) Reference includes the citation of the contents included in the system. E-Learning for PC Assembly and Basic Computer Hardware Troubleshooting was evaluated by fifty (50) IT students of LSPU-SPCC, five (5) Instructors from San Jose National High School (SJNHS) and LSPU-SPCC and five (5) IT Experts from SM San Pablo Asianic, Ultimart Shopping Mall, STRADCOM and CAI-STA Philippines. The result of the evaluation was Very Acceptable; it shows that the main objective of the developers has met.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,"THE DEVELOPMENT OF A WEBSITE: ""CHIVA SIASON COUTURE""",2014,"The research is concerned with the development of a website entitled. ChivaSiason Couture Website. Its main objective is to develop a website that advertise the creations and designs of Mr. ChivaSiason. The capabilities of the websiteare (1) The website contain information about different types of dresses and gowns.(2) The website has shows information about the designer. (3) The website has a 3D features of some dresses where the user can customize the gown. (4)The website also contain different images of creations of ChivaSiason. (5) The website can show the location and contacts of the designer and also can send their comments. The software used to create the system was Game Maker Studio, Adobe Photoshop CS4, Marvelous and Designer 3 version 1.3.2. The evaluators are divided into three(3),the (1) client, the IT expert composed of five (5) IT professionals and (30) Non IT-Expert. The three groups use different evaluation instrument. The numerical interpretation has a five point scale starting from the lowest range which is 1.00-1.50 and the interpretation is poor, 1.51-2.50 which is fair, 2.51-3.50 which is good, 3.51-4.50 which is very good and lastly 4.51-5.00 which is excellent. The overall interpretation of the client for the website is very good with the mean of 4.47. The overall interpretation of IT expert for the website is very goodwith the mean of 4.40. The interpretation of non IT (Users) is excellentwith the mean of 4.54. The interpretation of the system theChivaSiason Couture Website is very good with the overall mean of 4.47.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,DEVELOPMENT OF DIGITAL LESSON FOR GRADE 7 SCIENCE IN GRABSUM SCHOOL INC.,2013,"The Capstone project is concerned with the development of E-learning in Science and Technology of GRABSUM School Incorporated in Candelaria Quezon. Its main objective is to develop an instructional material that will help teachers, students, and future developers to teach and learn effectively. The E-learning system has the following functions: (1) it consist of modules, each module has a different numbers of lessons depending on the topic; (2) it is capable of reading /narrating lessons that benefit students who lean best by auditory means; (3) it also has a quiz button wherein the students can take a quiz to evaluate their knowledge; (4) There is also activity button for laboratory wherein there are videos that demonstrate right procedure of the activity and (5) there is a print button for activity questions. There are two types of evaluators; the (5) five IT Experts and (10) ten Science teachers and (60) sixty Grade-7 students. The developed system was rated very acceptable. The result of the evaluation shows that the objectives of the study were achieved and recommended to be used by the science teachers and students of GRABSUM School Incorporated in Candelaria Quezon.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,DEVELOPMENT OF E-LEARNING SYSTEM FOR BASAIC BANKING COURSE OF ALTERNATIVE LEARNING SYSTEM,2013,"The research project is mainly concerned with the development of E-Learning System for Basic Baking Course of Alternative Learning System. Its main objective is to develop a baking simulation system for the baking course in Alterative Leaming System. E-Learning System for Basic Baking Course of Alternative Learning System is an executable file that does not need to be installed. It contains fourteen (14) recipes that were by the trainor of baking in Alternative Learning System. The system has the following functions: (1) the Home page wherein the user can see the definition of pastry, pie, bread and cake. (2) The Menu button was consisting of four baking categories. Pastry and Pie category contains three recipes while Bread and Cake contains four recipes. Once the user clicks the recipe he/she chose it will display the brief description of each recipe. Each recipe also contains tips for the users to have a perfect product, ingredients that are needed in baking a certain recipe, the procedures that are going to follow when baking and the videos that will show the process of baking each recipe. Coconut Chiffon Cake is the only recipe that has a simulation wherein the user can make the entire process of baking it. (3) The Utensils button shows the different baking tools and equipment that is use in baking. It also contains the proper ways on how the user will clean and store the utensils after using it. (4) The Safety Rules button shows some safety tips that will help the users to avoid damages when baking. (5) The About Us button shows the brief description about Alternative Learning System, their Objectives, Vision, and Mission. The Modified Waterfall Model was used in developing the system. There were four types of evaluators: the (5) IT experts, (1) Baking Coordinator, (1) Baking Trainor and (50) Baking students. The developed system was rated Highly Acceptable. The result of the evaluation shows that the objectives of the study were achieved by the developers.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,THE DEVELOPMENT OF ST. JOHN PAROCHIAL SCHOOL LIBRARY MANAGEMENT SYSTEM USING BARCODE SCANNER AND MAGNETIC STRIPE CARD,2013,"Library plays an important role in the progress of any educational institution. It has the records of books about different subject and some article or references. The capstone project is concerned with the automation of the library of St. John Parochial School located at Tiaong Quezon. Its main objective is to develop a system that will effectively and efficiently manage the withdrawal and retrieval of each book by means of functions and features that have monitoring capabilities. The project was designed and developed using Visual Studio, Adobe Photoshop, Crystal Report and Microsoft Access. It can be open or run on all major desktop computer or laptops that have a minimum Operating System of Windows Xp It was launched in different operating systems to ensure its compatibility and portability. Finally the project was evaluated using ISO 9126 Software Quality Matrix by thirty-five respondents. It obtained an overall mean of 4.40 that is equivalent to a ""Very Acceptable"" interpretation which indicates that the system was developed according to its desired functions and requirements.","JENNELYN E. ESPINUEVA, MIT"
BSIT,N/A,THE DEVELOPMENT OF DREAMCATCHERS 3D FIRST PERSON SHOOTER GAME,2013,"Virtual game encompasses most common entertainment source of people, specifically the new generations. Teen, young, adult and even professionals have extreme fondness in virtual games. The system was able to introduce new interface of most existing game that lies under First Person Shooter perspective. It has the capability of skills and stat point allocation that changed the genre from military into fantasy-based game. The game included Role Playing Game (RPG) significant functionality that is specifically using larger maps, energy and magic that are used for skill casting. Also it has Combat Log that are used for displaying player moves, and Communication Log that display messages and player connection in the server. The game also has single player mode that allows the user to know the game story and learn some historical trivia by exploring the map while undertaking the game objectives. The system was evaluated by five (5) It Experts of different fields, specifically, - IT experts from San Pablo City Medical Hospital(data processing department), Graphic Artist from GMA studios and from Celestron TVIT Department) and thirty (20) elementary students with ages eight (8) to thirteen (13) and ten (10) gamers aged fourteen (14) and above. Using the evaluation sheet by Bruce Whitehill with the criteria Complexity, Game Instruction, Uniqueness, Playing Time, Appearance, Materials, Game Idea, Interest, Repeat Play, Interaction, Game Options, Game-world size, Game pieces size, and Text size, The developed system got an over-all rating of Very Acceptable.","JENNELYN E. ESPINUEVA, MIT"
BSIT,N/A,CAPSTONE PROJECT AND THESIS REPOSITORY FOR LSPU-SPCC-CCS USING KIOSK,2013,"Thesis and capstone project are the most important part in an educational career. It showcases the students' skills, learning and capabilities. The system entitled ""Capstone Projects and Thesis Repository for LSPU-SPCC-CCS using Kiosk"" was developed to attain its main objective which is to designed and create a system that will act as a digital repository of thesis and capstone projects of the College of Computer Studies of Laguna State Polytechnic University San Pablo City Campus. The system has the following features: (1) Capable of allowing the end-users to search for a thesis and capstone project. (2) Allows the users to search a project by category, by year and by author/s name. (3) Capable of presenting the necessary information about a project such as (a) project title, (b) project author/s, (c) project category, (e) year it was developed, (f) project adviser, (g) author/s degree, (h) project screenshot and i) project abstract or summary. (4) Capable of producing printed copy of the project abstract. (5) Capable of allowing the administrator to add new project and modify the project information. The project was designed and developed using the following software application: Longtion Application Builder, Microsoft Office Access, Adobe Photoshop, Adobe Flash and Adobe Reader. The developed system was evaluated by thirty six (36) Non-IT respondents which are composed of the students of the College of Computer Studies of LSPU-SPCC and Chrisville Institute of Technology. The system obtained an overall mean of 4.13 which is equivalent to ""very good"" in descriptive terms. The system was also evaluated by five (5) more respondents who are IT experts who are specialized in the software applications used in the system. In the evaluation, the system attained an overall mean of 3.61 which is equivalent to ""Very Good"". The system obtained an overall mean from both IT and Non-IT respondents of 3.87 which is equivalent to ""Very Good"" in qualitative terms which shows that the objectives of the study were met and achieved and indicates that the system was developed according to its desired functions and requirements.","JENNELYN E. ESPINUEVA, MIT"
